CHUNK_ID,TREE_ID,PLOT_ID,SPCD,STATUSCD,DIA,HT,CR,X,Y,ROW_CHUNK,COL_CHUNK,geometry
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1329108.260650747,2778563.131796497,0,0,POINT (-1329108.260650747 2778563.131796497)
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329105.131282218,2778564.1702379663,0,0,POINT (-1329105.131282218 2778564.1702379663)
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329106.7503987094,2778828.784247483,0,0,POINT (-1329106.7503987094 2778828.784247483)
0_0,1044390,37754,122,1,38.862,14.3256,0.9,-1329101.2635057794,2778830.859766213,0,0,POINT (-1329101.2635057794 2778830.859766213)
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1329087.6488472125,2778830.6124478043,0,0,POINT (-1329087.6488472125 2778830.6124478043)
0_0,1044394,37754,122,1,35.56,15.24,0.85,-1329115.7276525835,2778566.9597076336,0,0,POINT (-1329115.7276525835 2778566.9597076336)
0_0,1044394,37754,122,1,35.56,15.24,0.85,-1329117.1847814433,2778560.935964759,0,0,POINT (-1329117.1847814433 2778560.935964759)
0_0,1044395,37754,122,1,18.542,12.4968,0.75,-1329003.6272024815,2778892.685713641,0,0,POINT (-1329003.6272024815 2778892.685713641)
0_0,1044395,37754,122,1,18.542,12.4968,0.75,-1328995.8809359595,2778893.6457449947,0,0,POINT (-1328995.8809359595 2778893.6457449947)
0_0,1044395,37754,122,1,18.542,12.4968,0.75,-1328988.0958817522,2778891.7181354933,0,0,POINT (-1328988.0958817522 2778891.7181354933)
0_0,1044394,37754,122,1,35.56,15.24,0.85,-1328982.8209140778,2778896.6987080057,0,0,POINT (-1328982.8209140778 2778896.6987080057)
0_0,1044390,37754,122,1,38.862,14.3256,0.9,-1329108.4247346171,2778570.998427476,0,0,POINT (-1329108.4247346171 2778570.998427476)
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,-1329105.730171626,2778577.2467819783,0,0,POINT (-1329105.730171626 2778577.2467819783)
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329109.5068392765,2778572.8455485976,0,0,POINT (-1329109.5068392765 2778572.8455485976)
0_0,1044394,37754,122,1,35.56,15.24,0.85,-1329108.3978172487,2778575.865757016,0,0,POINT (-1329108.3978172487 2778575.865757016)
0_0,1044390,37754,122,1,38.862,14.3256,0.9,-1329113.7046437117,2778574.308822215,0,0,POINT (-1329113.7046437117 2778574.308822215)
0_0,1044390,37754,122,1,38.862,14.3256,0.9,-1329106.988069689,2778583.2555420925,0,0,POINT (-1329106.988069689 2778583.2555420925)
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1329098.0450985876,2778572.540709922,0,0,POINT (-1329098.0450985876 2778572.540709922)
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329113.8867346884,2778570.7679625796,0,0,POINT (-1329113.8867346884 2778570.7679625796)
0_0,1044395,37754,122,1,18.542,12.4968,0.75,-1329111.9382724427,2778557.5946290195,0,0,POINT (-1329111.9382724427 2778557.5946290195)
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,-1329108.2141554987,2778557.348706544,0,0,POINT (-1329108.2141554987 2778557.348706544)
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1328990.0355146418,2778875.619016265,0,0,POINT (-1328990.0355146418 2778875.619016265)
0_0,1044390,37754,122,1,38.862,14.3256,0.9,-1329005.4117428225,2778884.4600713444,0,0,POINT (-1329005.4117428225 2778884.4600713444)
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329004.559772216,2778880.758375528,0,0,POINT (-1329004.559772216 2778880.758375528)
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329002.639276698,2778881.3531088405,0,0,POINT (-1329002.639276698 2778881.3531088405)
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1329001.6482711087,2778873.606728013,0,0,POINT (-1329001.6482711087 2778873.606728013)
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329009.9574614055,2778880.510245672,0,0,POINT (-1329009.9574614055 2778880.510245672)
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329009.6145015215,2778877.92524989,0,0,POINT (-1329009.6145015215 2778877.92524989)
0_0,1044393,37754,122,1,28.956000000000003,17.3736,0.55,-1328997.984380097,2778871.5588649544,0,0,POINT (-1328997.984380097 2778871.5588649544)
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329092.076665674,2778834.654274483,0,0,POINT (-1329092.076665674 2778834.654274483)
0_0,1044392,37754,122,1,16.002,6.7056,0.9,-1329092.2653231132,2778836.4395856373,0,0,POINT (-1329092.2653231132 2778836.4395856373)
0_0,1044395,37754,122,1,18.542,12.4968,0.75,-1329080.8837711478,2778835.3154583783,0,0,POINT (-1329080.8837711478 2778835.3154583783)
0_0,1044391,37754,122,1,33.782000000000004,14.3256,0.9,-1329083.6645860213,2778828.317831108,0,0,POINT (-1329083.6645860213 2778828.317831108)
0_0,1044394,37754,122,1,35.56,15.24,0.85,-1329081.8272992615,2778837.7407802846,0,0,POINT (-1329081.8272992615 2778837.7407802846)
